,district,fiyat,,update_date,m2_brut,bina_yasi,kat_sayisi,kullanim_durumu,banyo_sayisi,creation_date,Type,m2_net,oda_sayisi,bulundugu_kat,isitma_tip,site
5163,besiktas,"2,100,000TL",,10 Şubat 2022,67 m2,2,5,Mülk Sahibi Oturuyor,Yok,10 Şubat 2022,Konut,55 m2,2+1,1. Kat,Kombi Doğalgaz,Hayır
5164,besiktas,"940,000TL",,10 Şubat 2022,100 m2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,1,10 Şubat 2022,Konut,80 m2,1+1,Kot 3 (-3). Kat,Kombi Doğalgaz,Hayır
5165,besiktas,"1,925,000TLarrow_downward%2",,21 Şubat 2022,67 m2,2,5,Kiracı Oturuyor,1,10 Şubat 2022,Konut,55 m2,2+1,1. Kat,Kombi Doğalgaz,Hayır
5166,besiktas,"38,500,000TL",,10 Şubat 2022,458 m2,0 (Yeni),6,Mülk Sahibi Oturuyor,4,10 Şubat 2022,Konut,395 m2,5+2,5. Kat,Merkezi (Pay Ölçer),Hayır
5167,besiktas,"10,000,000TL",,10 Şubat 2022,350 m2,10-May,4,Boş,4,10 Şubat 2022,Konut,340 m2,5+1,Müstakil,Kombi Doğalgaz,Hayır
5168,besiktas,"10,250,000TL",,10 Şubat 2022,450 m2,21 Ve Üzeri,4,Kiracı Oturuyor,4,10 Şubat 2022,Konut,400 m2,8+ Oda,Müstakil,Kombi Doğalgaz,Hayır
5169,besiktas,"17,500,000TL",,10 Şubat 2022,245 m2,10-May,30,Mülk Sahibi Oturuyor,3,10 Şubat 2022,Konut,190 m2,3.5+1,14. Kat,Merkezi (Pay Ölçer),Hayır
5170,besiktas,"13,500,000TL",,10 Şubat 2022,420 m2,21 Ve Üzeri,6,Boş,3,10 Şubat 2022,Konut,400 m2,6+2,Müstakil,Kombi Doğalgaz,Hayır
5171,besiktas,"14,000,000TL",,10 Şubat 2022,110 m2,16-20,5,Boş,1,10 Şubat 2022,Konut,100 m2,1+1,Düz Giriş,Kombi Doğalgaz,Hayır
5172,besiktas,"13,200,000TL",,10 Şubat 2022,395 m2,21 Ve Üzeri,3,Boş,6+,10 Şubat 2022,Konut,300 m2,7+2,Villa Tipi,Merkezi Doğalgaz,Hayır
5173,besiktas,"8,000,000TL",,10 Şubat 2022,96 m2,10-May,30,Mülk Sahibi Oturuyor,2,10 Şubat 2022,Konut,76 m2,1+1,10. Kat,Merkezi (Pay Ölçer),Hayır
5174,besiktas,"500,000TL",,17 Şubat 2022,120 m2,0 (Yeni),7,Boş,1,09 Şubat 2022,Konut,110 m2,3+1,2. Kat,Kombi Doğalgaz,Hayır
5175,besiktas,"13,500,000TL",,22 Şubat 2022,300 m2,21 Ve Üzeri,4,Boş,2,10 Şubat 2022,Konut,290 m2,4+2,Müstakil,Kombi Doğalgaz,Hayır
5176,besiktas,"8,000,000TL",,09 Şubat 2022,110 m2,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,1,09 Şubat 2022,Konut,100 m2,3+1,1. Kat,Merkezi (Pay Ölçer),Hayır
5177,besiktas,"8,200,000TL",,09 Şubat 2022,175 m2,10-May,4,Mülk Sahibi Oturuyor,3,09 Şubat 2022,Konut,164 m2,3+1,Müstakil,Kombi Doğalgaz,Hayır
5178,besiktas,"3,650,000TL",,11 Şubat 2022,125 m2,3,7,Mülk Sahibi Oturuyor,2,09 Şubat 2022,Konut,110 m2,3+1,3. Kat,Kombi Doğalgaz,Hayır
5179,besiktas,"1,550,000TL",,08 Şubat 2022,90 m2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,1,08 Şubat 2022,Konut,85 m2,2+1,1. Kat,Kombi Doğalgaz,Hayır
5180,besiktas,"3,800,000TL",,08 Şubat 2022,85 m2,10-May,4,Mülk Sahibi Oturuyor,1,08 Şubat 2022,Konut,65 m2,2+1,Yüksek Giriş,Merkezi Doğalgaz,Hayır
5181,besiktas,"33,750,000TL",,09 Şubat 2022,200 m2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,2,09 Şubat 2022,Konut,180 m2,3.5+1,2. Kat,Kombi Doğalgaz,Hayır
5182,besiktas,"4,650,000TL",,21 Şubat 2022,160 m2,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,1,08 Şubat 2022,Konut,140 m2,3+1,1. Kat,Merkezi (Pay Ölçer),Hayır
5183,besiktas,"27,000,000TLarrow_downward%10",,27 Şubat 2022,300 m2,15-Nov,7,Mülk Sahibi Oturuyor,2,09 Şubat 2022,Konut,240 m2,3+1,4. Kat,Merkezi (Pay Ölçer),Hayır
5184,besiktas,"19,000,000TL",,07 Şubat 2022,600 m2,21 Ve Üzeri,3,Boş,5,07 Şubat 2022,Konut,550 m2,6+1,Villa Tipi,Merkezi Doğalgaz,Evet
5185,besiktas,"7,250,000TLarrow_downward%3",,02 Mart 2022,180 m2,21 Ve Üzeri,7,Boş,1,07 Şubat 2022,Konut,170 m2,4+1,5. Kat,Merkezi (Pay Ölçer),Hayır
5186,besiktas,"60,000,000TL",,07 Şubat 2022,500 m2,21 Ve Üzeri,6,Mülk Sahibi Oturuyor,4,07 Şubat 2022,Konut,430 m2,6+1,6. Kat,Merkezi Doğalgaz,Hayır
5187,besiktas,"28,000,000TL",,07 Şubat 2022,350 m2,21 Ve Üzeri,6,Mülk Sahibi Oturuyor,4,07 Şubat 2022,Konut,300 m2,5+1,6. Kat,Merkezi Doğalgaz,Hayır
5188,besiktas,"1,250,000TL",,06 Şubat 2022,90 m2,21 Ve Üzeri,7,Mülk Sahibi Oturuyor,1,06 Şubat 2022,Konut,85 m2,2+1,Bahçe Katı,Merkezi Doğalgaz,Hayır
5189,besiktas,"2,680,000TL",,07 Şubat 2022,120 m2,21 Ve Üzeri,5,Boş,2,06 Şubat 2022,Konut,105 m2,3+1,3. Kat,Merkezi (Pay Ölçer),Hayır
5190,besiktas,"7,600,000TL",,07 Şubat 2022,190 m2,16-20,5,Mülk Sahibi Oturuyor,2,07 Şubat 2022,Konut,170 m2,4+1,2. Kat,Kombi Doğalgaz,Hayır
5191,besiktas,"13,500,000TL",,22 Şubat 2022,300 m2,21 Ve Üzeri,4,Kiracı Oturuyor,2,07 Şubat 2022,Konut,290 m2,4+2,Müstakil,Isıtma Yok,Hayır
5192,besiktas,"750,000TL",,25 Şubat 2022,75 m2,21 Ve Üzeri,5,Kiracı Oturuyor,1,05 Şubat 2022,Konut,70 m2,1+1,Yarı Bodrum,Kombi Doğalgaz,Hayır
5193,besiktas,"2,000,000TL",,01 Mart 2022,120 m2,21 Ve Üzeri,5,Boş,1,05 Şubat 2022,Konut,110 m2,3+1,3. Kat,Kombi Doğalgaz,Hayır
5194,besiktas,"4,650,000TL",,07 Şubat 2022,160 m2,21 Ve Üzeri,2,Kiracı Oturuyor,1,05 Şubat 2022,Konut,145 m2,3+1,1. Kat,Merkezi (Pay Ölçer),Hayır
5195,besiktas,"8,500,000TL",,05 Şubat 2022,270 m2,10-May,2,Mülk Sahibi Oturuyor,2,04 Şubat 2022,Konut,260 m2,5+2,Çatı Katı,Kombi Doğalgaz,Hayır
5196,besiktas,"2,500,000TL",,05 Şubat 2022,200 m2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,2,04 Şubat 2022,Konut,160 m2,4+1,4. Kat,Kombi Doğalgaz,Hayır
5197,besiktas,"38,750,000TL",,15 Şubat 2022,600 m2,15-Nov,34,Mülk Sahibi Oturuyor,4,05 Şubat 2022,Konut,500 m2,5+2,20-30. Kat,Merkezi Doğalgaz,Hayır
5198,besiktas,"36,000,000TL",,15 Şubat 2022,600 m2,15-Nov,36,Mülk Sahibi Oturuyor,4,05 Şubat 2022,Konut,550 m2,5+2,20-30. Kat,Merkezi Doğalgaz,Hayır
5199,besiktas,"24,500,000TL",,15 Şubat 2022,185 m2,10-May,21,Mülk Sahibi Oturuyor,2,04 Şubat 2022,Konut,175 m2,2+1,7. Kat,Klimalı,Hayır
5200,besiktas,"26,250,000TL",,03 Mart 2022,300 m2,4,3,Boş,3,04 Şubat 2022,Konut,299 m2,4+1,Müstakil,Kombi Doğalgaz,Hayır
5201,besiktas,"68,000,000TL",,27 Şubat 2022,600 m2,15-Nov,2,Mülk Sahibi Oturuyor,5,05 Şubat 2022,Konut,525 m2,4+2,Düz Giriş,Kombi Doğalgaz,Hayır
5202,besiktas,"5,850,000TL",,28 Şubat 2022,80 m2,21 Ve Üzeri,10,Mülk Sahibi Oturuyor,1,05 Şubat 2022,Konut,70 m2,2+1,3. Kat,Merkezi Doğalgaz,Hayır
5203,besiktas,"21,000,000TL",,04 Şubat 2022,236 m2,0 (Yeni),6,Boş,3,04 Şubat 2022,Konut,202 m2,4+1,4. Kat,Merkezi (Pay Ölçer),Hayır
5204,besiktas,"35,000,000TL",,04 Şubat 2022,420 m2,4,6,Boş,4,04 Şubat 2022,Konut,280 m2,5+1,Bahçe Katı,Merkezi Doğalgaz,Hayır
5205,besiktas,"10,500,000TL",,04 Şubat 2022,168 m2,2,6,Kiracı Oturuyor,2,04 Şubat 2022,Konut,125 m2,2+1,2. Kat,Merkezi (Pay Ölçer),Hayır
5206,besiktas,"18,200,000TL",,04 Şubat 2022,212 m2,2,6,Boş,2,04 Şubat 2022,Konut,176 m2,3+1,3. Kat,Merkezi (Pay Ölçer),Hayır
5207,besiktas,"7,400,000TL",,15 Şubat 2022,185 m2,21 Ve Üzeri,7,Mülk Sahibi Oturuyor,2,04 Şubat 2022,Konut,175 m2,4+1,1. Kat,Merkezi (Pay Ölçer),Hayır
5208,besiktas,"20,250,000TL",,15 Şubat 2022,240 m2,10-May,23,Mülk Sahibi Oturuyor,4,04 Şubat 2022,Konut,220 m2,3+1,20-30. Kat,Merkezi Doğalgaz,Hayır
5209,besiktas,"15,000,000TL",,15 Şubat 2022,140 m2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,1,04 Şubat 2022,Konut,120 m2,2+1,2. Kat,Kombi Doğalgaz,Hayır
5210,besiktas,"24,900,000TL",,15 Şubat 2022,180 m2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,1,04 Şubat 2022,Konut,150 m2,3+1,1. Kat,Merkezi Doğalgaz,Hayır
5211,besiktas,"65,000,000TL",,16 Şubat 2022,500 m2,21 Ve Üzeri,10,Mülk Sahibi Oturuyor,5,04 Şubat 2022,Konut,437 m2,6+1,6. Kat,Merkezi Doğalgaz,Hayır
5212,besiktas,"7,300,000TL",,11 Şubat 2022,260 m2,10-May,30,Mülk Sahibi Oturuyor,3,03 Şubat 2022,Konut,230 m2,2+1,20-30. Kat,Merkezi (Pay Ölçer),Hayır
5213,besiktas,"2,000,000TL",,16 Şubat 2022,130 m2,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,3,03 Şubat 2022,Konut,120 m2,4+1,Düz Giriş,Sobalı,Hayır
5214,besiktas,"3,800,000TL",,01 Şubat 2022,120 m2,21 Ve Üzeri,5,Kiracı Oturuyor,1,01 Şubat 2022,Konut,100 m2,2.5+1,Yüksek Giriş,Merkezi (Pay Ölçer),Hayır
5215,besiktas,"1,060,000TL",,03 Mart 2022,59 m2,3,15,Kiracı Oturuyor,1,01 Şubat 2022,Konut,45 m2,1+1,1. Kat,Merkezi Doğalgaz,Hayır
5216,besiktas,"15,600,000TL",,01 Mart 2022,274 m2,21 Ve Üzeri,4,Boş,4,31 Ocak 2022,Konut,240 m2,5+2,Villa Tipi,Kombi Doğalgaz,Hayır
5217,besiktas,"3,100,000TL",,30 Ocak 2022,100 m2,21 Ve Üzeri,6,Kiracı Oturuyor,1,30 Ocak 2022,Konut,80 m2,2+1,3. Kat,Kombi Doğalgaz,Hayır
5218,besiktas,"80,000,000TL",,30 Ocak 2022,600 m2,4,14,Mülk Sahibi Oturuyor,3,30 Ocak 2022,Konut,550 m2,5+1,11. Kat,Merkezi (Pay Ölçer),Hayır
5219,besiktas,"17,000,000TL",,05 Şubat 2022,180 m2,21 Ve Üzeri,3,Boş,2,30 Ocak 2022,Konut,165 m2,3+1,2. Kat,Kombi Doğalgaz,Hayır
5220,besiktas,"9,000,000TL",,30 Ocak 2022,240 m2,0 (Yeni),7,Kiracı Oturuyor,2,30 Ocak 2022,Konut,200 m2,4+1,1. Kat,Merkezi (Pay Ölçer),Hayır
5221,besiktas,"21,500,000TL",,23 Şubat 2022,924 m2,21 Ve Üzeri,7,Mülk Sahibi Oturuyor,Yok,30 Ocak 2022,Konut,923 m2,1 Oda,Düz Giriş,Isıtma Yok,Hayır
5222,besiktas,"55,000,000TL",,23 Şubat 2022,630 m2,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,4,30 Ocak 2022,Konut,600 m2,6+1,Düz Giriş,Kombi Doğalgaz,Hayır
5223,besiktas,"2,000,000TL",,29 Ocak 2022,130 m2,21 Ve Üzeri,5,Boş,1,29 Ocak 2022,Konut,125 m2,3+1,1. Kat,Kombi Doğalgaz,Hayır
5224,besiktas,"15,600,000TL",,18 Şubat 2022,274 m2,21 Ve Üzeri,4,Boş,4,28 Ocak 2022,Konut,240 m2,5+2,Villa Tipi,Kombi Doğalgaz,Hayır
5225,besiktas,"1,570,000TL",,03 Mart 2022,79 m2,3,15,Kiracı Oturuyor,1,29 Ocak 2022,Konut,55 m2,1+1,9. Kat,Merkezi Doğalgaz,Hayır
5226,besiktas,"1,850,000TL",,26 Şubat 2022,65 m2,0 (Yeni),15,Boş,1,29 Ocak 2022,Konut,50 m2,1+1,10. Kat,Merkezi Doğalgaz,Hayır
5227,besiktas,"2,850,000TL",,02 Mart 2022,90 m2,0 (Yeni),15,Boş,1,29 Ocak 2022,Konut,65 m2,2+1,12. Kat,Merkezi Doğalgaz,Hayır
5228,besiktas,"18,000,000TL",,02 Şubat 2022,190 m2,10-May,20,Kiracı Oturuyor,2,27 Ocak 2022,Konut,168 m2,4+1,1. Kat,Klimalı,Hayır
5229,besiktas,"14,500,000TL",,24 Şubat 2022,190 m2,16-20,7,Boş,2,27 Ocak 2022,Konut,180 m2,3+1,3. Kat,Kombi Doğalgaz,Hayır
5230,besiktas,"15,000,000TL",,24 Şubat 2022,501 m2,15-Nov,1,Kiracı Oturuyor,2,27 Ocak 2022,Konut,200 m2,4+1,Villa Tipi,Kombi Doğalgaz,Hayır
5231,besiktas,"8,750,000TL",,24 Şubat 2022,300 m2,21 Ve Üzeri,7,Boş,2,27 Ocak 2022,Konut,150 m2,4+2,Düz Giriş,Kombi Doğalgaz,Hayır
5232,besiktas,"9,500,000TL",,24 Şubat 2022,160 m2,21 Ve Üzeri,7,Boş,2,27 Ocak 2022,Konut,145 m2,3+1,4. Kat,Kombi Doğalgaz,Hayır
5233,besiktas,"2,500,000TL",,26 Ocak 2022,90 m2,21 Ve Üzeri,5,Boş,1,26 Ocak 2022,Konut,70 m2,2+1,Bahçe Katı,Merkezi Doğalgaz,Hayır
5234,besiktas,"2,200,000TL",,27 Ocak 2022,55 m2,21 Ve Üzeri,3,Kiracı Oturuyor,1,27 Ocak 2022,Konut,50 m2,1+1,Kot 3 (-3). Kat,Kombi Doğalgaz,Hayır
5235,besiktas,"1,525,000TL",,27 Ocak 2022,130 m2,21 Ve Üzeri,5,Boş,1,27 Ocak 2022,Konut,125 m2,3+1,3. Kat,Kombi Doğalgaz,Hayır
5236,besiktas,"1,150,000TL",,27 Ocak 2022,80 m2,21 Ve Üzeri,3,Kiracı Oturuyor,1,27 Ocak 2022,Konut,75 m2,2+1,3. Kat,Kombi Doğalgaz,Hayır
5237,besiktas,"22,500,000TL",,24 Şubat 2022,260 m2,15-Nov,4,Boş,2,27 Ocak 2022,Konut,250 m2,4+1,3. Kat,Merkezi Doğalgaz,Hayır
5238,besiktas,"2,100,000TL",,26 Ocak 2022,70 m2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,1,25 Ocak 2022,Konut,55 m2,1+1,5. Kat,Kombi Doğalgaz,Hayır
5239,besiktas,"7,950,000TL",,26 Ocak 2022,251 m2,0 (Yeni),6,Boş,5,26 Ocak 2022,Konut,226 m2,6+1,Çatı Dubleks,Merkezi Doğalgaz,Hayır
5240,besiktas,"110,000,000TL",,25 Ocak 2022,650 m2,10-May,3,Boş,5,25 Ocak 2022,Konut,500 m2,6+1,Düz Giriş,Kombi Doğalgaz,Hayır
5241,besiktas,"3,000,000TL",,01 Mart 2022,135 m2,1,5,Boş,2,26 Ocak 2022,Konut,120 m2,2+2,Çatı Dubleks,Kombi Doğalgaz,Hayır
5242,besiktas,"42,000,000TL",,24 Ocak 2022,260 m2,21 Ve Üzeri,5,Boş,3,24 Ocak 2022,Konut,250 m2,4+1,3. Kat,Merkezi Doğalgaz,Hayır
5243,besiktas,"14,000,000TL",,24 Ocak 2022,240 m2,21 Ve Üzeri,4,Kiracı Oturuyor,2,24 Ocak 2022,Konut,220 m2,4+2,Bahçe Katı,Merkezi Doğalgaz,Hayır
5244,besiktas,"16,000,000TL",,24 Ocak 2022,320 m2,21 Ve Üzeri,5,Boş,3,24 Ocak 2022,Konut,300 m2,5+1,Düz Giriş,Kombi Doğalgaz,Hayır
5245,besiktas,"17,000,000TL",,24 Ocak 2022,180 m2,21 Ve Üzeri,6,Boş,2,24 Ocak 2022,Konut,175 m2,3+1,3. Kat,Merkezi Doğalgaz,Hayır
5246,besiktas,"3,250,000TL",,24 Ocak 2022,125 m2,21 Ve Üzeri,4,Boş,1,24 Ocak 2022,Konut,120 m2,3+1,1. Kat,Kat Kaloriferi,Hayır
5247,besiktas,"7,500,000TL",,06 Şubat 2022,210 m2,10-May,4,Kiracı Oturuyor,3,24 Ocak 2022,Konut,200 m2,3+1,Düz Giriş,Kombi Doğalgaz,Hayır
5248,besiktas,"11,000,000TL",,06 Şubat 2022,175 m2,21 Ve Üzeri,5,Boş,2,24 Ocak 2022,Konut,170 m2,3+1,Yüksek Giriş,Kombi Doğalgaz,Hayır
5249,besiktas,"11,000,000TL",,06 Şubat 2022,350 m2,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,4,24 Ocak 2022,Konut,340 m2,6+2,Düz Giriş,Kombi Doğalgaz,Hayır
5250,besiktas,"7,000,000TL",,06 Şubat 2022,100 m2,16-20,5,Mülk Sahibi Oturuyor,1,24 Ocak 2022,Konut,90 m2,2+1,Yüksek Giriş,Kombi Doğalgaz,Hayır
5251,besiktas,"14,000,000TL",,06 Şubat 2022,230 m2,21 Ve Üzeri,4,Kiracı Oturuyor,1,24 Ocak 2022,Konut,220 m2,2+1,Bahçe Katı,Kombi Doğalgaz,Hayır
5252,besiktas,"11,750,000TL",,07 Şubat 2022,150 m2,21 Ve Üzeri,5,Boş,2,24 Ocak 2022,Konut,145 m2,2+1,Yüksek Giriş,Kombi Doğalgaz,Hayır
5253,besiktas,"2,800,000TL",,18 Şubat 2022,115 m2,15-Nov,4,Kiracı Oturuyor,2,24 Ocak 2022,Konut,95 m2,2+1,3. Kat,Kombi Doğalgaz,Evet
5254,besiktas,"1,950,000TL",,26 Şubat 2022,130 m2,21 Ve Üzeri,5,Kiracı Oturuyor,1,25 Ocak 2022,Konut,110 m2,3+1,3. Kat,Kombi Doğalgaz,Hayır
5255,besiktas,"1,950,000TL",,28 Şubat 2022,110 m2,21 Ve Üzeri,5,Kiracı Oturuyor,1,25 Ocak 2022,Konut,100 m2,3+1,3. Kat,Kombi Doğalgaz,Hayır
5256,besiktas,"3,100,000TL",,28 Şubat 2022,120 m2,0 (Yeni),4,Boş,2,25 Ocak 2022,Konut,105 m2,3+1,4. Kat,Kombi Doğalgaz,Hayır
5257,besiktas,"1,200,000TL",,28 Şubat 2022,80 m2,21 Ve Üzeri,5,Kiracı Oturuyor,1,25 Ocak 2022,Konut,75 m2,2+1,1. Kat,Kombi Doğalgaz,Hayır
5258,besiktas,"1,000,000TL",,28 Şubat 2022,85 m2,21 Ve Üzeri,5,Kiracı Oturuyor,2,25 Ocak 2022,Konut,80 m2,2+1,Düz Giriş,Kombi Doğalgaz,Hayır
5259,besiktas,"3,650,000TL",,24 Ocak 2022,120 m2,0 (Yeni),7,Boş,1,24 Ocak 2022,Konut,100 m2,3+1,3. Kat,Kombi Doğalgaz,Hayır
5260,besiktas,"1,750,000TLarrow_downward%3",,03 Mart 2022,85 m2,21 Ve Üzeri,6,Kiracı Oturuyor,1,24 Ocak 2022,Konut,75 m2,2+1,4. Kat,Kombi Doğalgaz,Hayır
5261,besiktas,"3,650,000TL",,27 Ocak 2022,110 m2,0 (Yeni),7,Boş,1,23 Ocak 2022,Konut,95 m2,3+1,2. Kat,Kombi Doğalgaz,Hayır
5262,besiktas,"40,000,000TL",,21 Ocak 2022,380 m2,10-May,24,Kiracı Oturuyor,4,21 Ocak 2022,Konut,350 m2,5+1,16. Kat,Yerden Isıtma,Hayır
5263,besiktas,"30,000,000TL",,21 Ocak 2022,220 m2,4,17,Boş,3,21 Ocak 2022,Konut,200 m2,3+1,6. Kat,Merkezi (Pay Ölçer),Hayır
5264,besiktas,"25,000,000TL",,21 Ocak 2022,217 m2,0 (Yeni),22,Mülk Sahibi Oturuyor,2,21 Ocak 2022,Konut,185 m2,2+1,7. Kat,Merkezi Doğalgaz,Hayır
5265,besiktas,"30,000,000TL",,21 Ocak 2022,221 m2,0 (Yeni),29,Boş,3,21 Ocak 2022,Konut,160 m2,3+1,15. Kat,Merkezi (Pay Ölçer),Hayır
5266,besiktas,"8,600,000TL",,22 Ocak 2022,180 m2,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,2,21 Ocak 2022,Konut,179 m2,3+1,Düz Giriş,Kombi Doğalgaz,Hayır
5267,besiktas,"33,000,000TL",,21 Ocak 2022,220 m2,4,22,Boş,3,21 Ocak 2022,Konut,200 m2,3+1,3. Kat,Merkezi (Pay Ölçer),Hayır
5268,besiktas,"3,850,000TL",,20 Ocak 2022,80 m2,0 (Yeni),21,Boş,1,20 Ocak 2022,Konut,60 m2,1+1,16. Kat,Merkezi Doğalgaz,Evet
5269,besiktas,"1,750,000TL",,21 Ocak 2022,120 m2,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,1,21 Ocak 2022,Konut,110 m2,2+1,4. Kat,Kombi Doğalgaz,Hayır
5270,besiktas,"5,450,000TL",,28 Şubat 2022,115 m2,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,1,19 Ocak 2022,Konut,100 m2,2+1,4. Kat,Kombi Doğalgaz,Hayır
5271,besiktas,"2,400,000TL",,05 Şubat 2022,95 m2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,1,19 Ocak 2022,Konut,80 m2,2+1,5. Kat,Kombi Doğalgaz,Hayır
5272,besiktas,"9,400,000TL",,17 Ocak 2022,190 m2,0 (Yeni),5,Boş,2,17 Ocak 2022,Konut,150 m2,3+1,4. Kat,Merkezi (Pay Ölçer),Hayır
5273,besiktas,"40,000,000TL",,21 Ocak 2022,340 m2,21 Ve Üzeri,2,Boş,3,15 Ocak 2022,Konut,300 m2,5+1,Villa Tipi,Kombi Doğalgaz,Hayır
5274,besiktas,"98,000,000TL",,24 Ocak 2022,890 m2,21 Ve Üzeri,4,Boş,Yok,15 Ocak 2022,Konut,889 m2,1 Oda,Düz Giriş,Isıtma Yok,Hayır
5275,besiktas,"118,000,000TL",,21 Ocak 2022,600 m2,10-May,22,Boş,5,15 Ocak 2022,Konut,470 m2,5+1,17. Kat,Merkezi (Pay Ölçer),Hayır
5276,besiktas,"1,890,000TL",,21 Şubat 2022,85 m2,15-Nov,4,Kiracı Oturuyor,1,15 Ocak 2022,Konut,70 m2,2+1,Çatı Katı,Kombi Doğalgaz,Hayır
5277,besiktas,"5,000,000TL",,25 Şubat 2022,100 m2,21 Ve Üzeri,5,Boş,1,15 Ocak 2022,Konut,90 m2,3+1,2. Kat,Merkezi Doğalgaz,Hayır
5278,besiktas,"12,500,000TL",,14 Ocak 2022,421 m2,21 Ve Üzeri,3,Boş,Yok,14 Ocak 2022,Konut,420 m2,8+ Oda,Düz Giriş,Kombi Doğalgaz,Hayır
5279,besiktas,"4,400,000TL",,14 Ocak 2022,140 m2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,1,14 Ocak 2022,Konut,120 m2,3+1,2. Kat,Kombi Doğalgaz,Hayır
5280,besiktas,"30,000,000TL",,18 Ocak 2022,340 m2,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,4,14 Ocak 2022,Konut,300 m2,6+1,4. Kat,Merkezi Doğalgaz,Hayır
5281,besiktas,"26,000,000TL",,18 Ocak 2022,320 m2,21 Ve Üzeri,6,Mülk Sahibi Oturuyor,3,14 Ocak 2022,Konut,287 m2,5+1,6. Kat,Yerden Isıtma,Hayır
5282,besiktas,"7,500,000TL",,18 Ocak 2022,110 m2,21 Ve Üzeri,6,Kiracı Oturuyor,1,14 Ocak 2022,Konut,87 m2,1+1,2. Kat,Merkezi Doğalgaz,Hayır
5283,besiktas,"60,000,000TL",,15 Ocak 2022,900 m2,0 (Yeni),4,Boş,5,15 Ocak 2022,Konut,750 m2,8+ Oda,Düz Giriş,Kombi Doğalgaz,Hayır
5284,besiktas,"29,000,000TLarrow_downward%10",,26 Ocak 2022,300 m2,21 Ve Üzeri,4,Boş,4,14 Ocak 2022,Konut,280 m2,4+1,4. Kat,Merkezi Doğalgaz,Hayır
5285,besiktas,"13,000,000TLarrow_downward%6",,05 Şubat 2022,187 m2,21 Ve Üzeri,6,Kiracı Oturuyor,2,14 Ocak 2022,Konut,165 m2,3+1,5. Kat,Merkezi Doğalgaz,Hayır
5286,besiktas,"1,750,000TLarrow_downward%6",,18 Şubat 2022,110 m2,15-Nov,4,Kiracı Oturuyor,2,14 Ocak 2022,Konut,90 m2,2+1,Düz Giriş,Kombi Doğalgaz,Hayır
5287,besiktas,"4,500,000TL",,14 Ocak 2022,170 m2,21 Ve Üzeri,12,Boş,1,14 Ocak 2022,Konut,160 m2,3+1,11. Kat,Merkezi Doğalgaz,Hayır
5288,besiktas,"345,000,000TL",,14 Ocak 2022,1.300 m2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,6+,14 Ocak 2022,Konut,800 m2,6+1,5. Kat,Kombi Doğalgaz,Hayır
5289,besiktas,"55,000,000TL",,13 Ocak 2022,350 m2,4,28,Boş,3,13 Ocak 2022,Konut,340 m2,4+1,7. Kat,Merkezi (Pay Ölçer),Evet
5290,besiktas,"2,950,000TL",,03 Mart 2022,100 m2,0 (Yeni),15,Boş,1,13 Ocak 2022,Konut,70 m2,2+1,10. Kat,Merkezi (Pay Ölçer),Hayır
5291,besiktas,"1,875,000TL",,12 Ocak 2022,120 m2,1,5,Kiracı Oturuyor,2,12 Ocak 2022,Konut,110 m2,2+1,5. Kat,Merkezi (Pay Ölçer),Hayır
5292,besiktas,"2,500,000TL",,12 Ocak 2022,144 m2,4,5,Kiracı Oturuyor,2,12 Ocak 2022,Konut,140 m2,3+1,5. Kat,Merkezi (Pay Ölçer),Hayır
5293,besiktas,"1,250,000TL",,12 Ocak 2022,85 m2,4,5,Kiracı Oturuyor,1,12 Ocak 2022,Konut,70 m2,2+1,Bahçe Katı,Merkezi (Pay Ölçer),Hayır
5294,besiktas,"1,750,000TL",,12 Ocak 2022,125 m2,1,5,Kiracı Oturuyor,2,12 Ocak 2022,Konut,100 m2,2+1,5. Kat,Merkezi (Pay Ölçer),Hayır
5295,besiktas,"2,500,000TL",,12 Ocak 2022,72 m2,10-May,5,Kiracı Oturuyor,1,12 Ocak 2022,Konut,60 m2,1+1,3. Kat,Merkezi (Pay Ölçer),Hayır
5296,besiktas,"345,000,000TL",,12 Ocak 2022,1.300 m2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,6+,12 Ocak 2022,Konut,800 m2,6+1,5. Kat,Kombi Doğalgaz,Evet
