,district,fiyat,,update_date,m2_brut,bina_yasi,kat_sayisi,kullanim_durumu,banyo_sayisi,creation_date,Type,m2_net,oda_sayisi,bulundugu_kat,isitma_tip,site
30,arnavutkoy,"1,250,000TLarrow_downward%90",,01 Mart 2022,260 m2,0 (Yeni),5,Boş,2,04 Ocak 2022,Konut,250 m2,5+2,Çatı Dubleks,Kombi Doğalgaz,Hayır
31,arnavutkoy,"420,000TLarrow_downward%90",,02 Mart 2022,100 m2,0 (Yeni),5,Boş,1,04 Ocak 2022,Konut,90 m2,2+1,Bahçe Katı,Kombi Doğalgaz,Hayır
32,arnavutkoy,"765,000TL",,28 Şubat 2022,180 m2,0 (Yeni),2,Boş,2,02 Ocak 2022,Konut,165 m2,4+1,2. Kat,Kombi Doğalgaz,Hayır
33,arnavutkoy,"765,000TL",,28 Şubat 2022,180 m2,0 (Yeni),2,Boş,2,02 Ocak 2022,Konut,165 m2,4+1,2. Kat,Kombi Doğalgaz,Hayır
34,arnavutkoy,"480,000TL",,01 Mart 2022,85 m2,3,4,Mülk Sahibi Oturuyor,1,01 Mart 2022,Konut,70 m2,1+1,Yüksek Giriş,Kombi Doğalgaz,Hayır
35,arnavutkoy,"715,000TL",,01 Mart 2022,105 m2,4,4,Mülk Sahibi Oturuyor,1,01 Mart 2022,Konut,100 m2,2+1,2. Kat,Kombi Doğalgaz,Hayır
36,arnavutkoy,"850,000TL",,02 Mart 2022,160 m2,0 (Yeni),5,Boş,1,01 Mart 2022,Konut,150 m2,3+2,5. Kat,Kombi Doğalgaz,Hayır
37,arnavutkoy,"1,150,000TL",,28 Şubat 2022,225 m2,10-May,5,Mülk Sahibi Oturuyor,2,28 Şubat 2022,Konut,200 m2,4+2,Çatı Dubleks,Kombi Doğalgaz,Hayır
38,arnavutkoy,"660,000TL",,01 Mart 2022,105 m2,10-May,5,Boş,1,01 Mart 2022,Konut,95 m2,2+1,5. Kat,Kombi Doğalgaz,Hayır
39,arnavutkoy,"4,000,000TL",,28 Şubat 2022,350 m2,16-20,4,Kiracı Oturuyor,3,28 Şubat 2022,Konut,300 m2,4+2,Villa Tipi,Kombi Doğalgaz,Evet
40,arnavutkoy,"740,000TL",,28 Şubat 2022,100 m2,0 (Yeni),5,Mülk Sahibi Oturuyor,1,28 Şubat 2022,Konut,85 m2,2+1,2. Kat,Kombi Doğalgaz,Hayır
41,arnavutkoy,"625,000TL",,28 Şubat 2022,100 m2,0 (Yeni),4,Mülk Sahibi Oturuyor,1,28 Şubat 2022,Konut,90 m2,2+1,Düz Giriş,Kombi Doğalgaz,Hayır
42,arnavutkoy,"800,000TL",,02 Mart 2022,160 m2,0 (Yeni),5,Boş,1,28 Şubat 2022,Konut,150 m2,3+2,5. Kat,Kombi Doğalgaz,Hayır
43,arnavutkoy,"590,000TL",,02 Mart 2022,95 m2,0 (Yeni),5,Boş,1,28 Şubat 2022,Konut,85 m2,2+1,2. Kat,Kombi Doğalgaz,Hayır
44,arnavutkoy,"650,000TL",,02 Mart 2022,95 m2,0 (Yeni),4,Boş,1,28 Şubat 2022,Konut,85 m2,2+1,2. Kat,Kombi Doğalgaz,Hayır
45,arnavutkoy,"850,000TL",,27 Şubat 2022,90 m2,10-May,6,Mülk Sahibi Oturuyor,1,27 Şubat 2022,Konut,1 m2,2+1,Bahçe Dublex,Kombi Doğalgaz,Hayır
46,arnavutkoy,"1,150,000TL",,28 Şubat 2022,350 m2,15-Nov,1,Kiracı Oturuyor,1,28 Şubat 2022,Konut,300 m2,2+1,Müstakil,Kombi Doğalgaz,Hayır
47,arnavutkoy,"5,800,000TL",,27 Şubat 2022,330 m2,15-Nov,3,Mülk Sahibi Oturuyor,3,27 Şubat 2022,Konut,310 m2,5+2,Düz Giriş,Kombi Doğalgaz,Hayır
48,arnavutkoy,"420,000TL",,26 Şubat 2022,100 m2,0 (Yeni),4,Boş,1,26 Şubat 2022,Konut,90 m2,2+1,Bahçe Katı,Kombi Doğalgaz,Hayır
49,arnavutkoy,"735,000TL",,26 Şubat 2022,100 m2,0 (Yeni),5,Mülk Sahibi Oturuyor,2,26 Şubat 2022,Konut,95 m2,2+1,1. Kat,Kombi Doğalgaz,Hayır
